Prompt,Denormalized Prompt,Normalized Sequence,Denormalized Sequence,Pronunication Class,Speaker ID,split
1496,one four nine six,279014,two seven nine o one four,GenericPronunciation,p298,train
290,too nine o,960125,nine six o one too five,GenericPronunciation,p314,train
7258,seven two faaev eight,556583,faaev faaev six faaev eight three,GenericPronunciation,VCTK_p229,test
6450,six four five zero,889029,eight eight nine zero two nine,GenericPronunciation,p265,train
633,six three three,231805,too three one eight zero faaev,GenericPronunciation,p277,train
989,nine eight nine,778212,seven seven eight too one too,GenericPronunciation,p301,train
216,two one six,381055,three eight one o five five,GenericPronunciation,p318,train
108,one o eight,052770,o five two seven seven o,GenericPronunciation,p279,train
87,eight seven,120116,one too zero one one six,GenericPronunciation,p341,train
985,nine eight five,007521,zero zero seven five two one,GenericPronunciation,p308,train
58,faaev eight,908830,nine o eight eight three o,GenericPronunciation,p254,train
633,six three three,647269,six four seven two six nine,GenericPronunciation,p271,train
3212,three two one two,375962,three seven faaev nine six two,GenericPronunciation,p270,train
137,one three seven,038778,o three eight seven seven eight,GenericPronunciation,p288,train
588,five eight eight,736342,seven three six three fo too,GenericPronunciation,VCTK_p225,test
95,nine faaev,818283,eight one eight too eight three,GenericPronunciation,p364,train
886,eight eight six,263847,two six three eight fo seven,GenericPronunciation,p340,train
30,three zero,038376,zero three eight three seven six,GenericPronunciation,p287,train
113,one one three,990075,nine nine zero zero seven faaev,GenericPronunciation,p304,train
108,one zero eight,999362,nine nine nine three six two,GenericPronunciation,p341,train
985,nine eight faaev,699731,six nine nine seven three one,GenericPronunciation,p307,train
562,five six two,977368,nine seven seven three six eight,GenericPronunciation,p275,train
562,faaev six two,541089,faaev fo one zero eight nine,GenericPronunciation,VCTK_p245,test
3646,three six fo six,790930,seven nine zero nine three zero,GenericPronunciation,p282,train
0019,zero zero one nine,683040,six eight three zero four zero,GenericPronunciation,p248,train
1674,one six seven fo,483133,fo eight three one three three,GenericPronunciation,p343,train
6450,six four faaev o,753259,seven faaev three two faaev nine,GenericPronunciation,VCTK_p239,test
37,three seven,052360,o faaev two three six o,GenericPronunciation,p334,train
633,six three three,309678,three zero nine six seven eight,GenericPronunciation,p363,train
68,six eight,610127,six one zero one two seven,GenericPronunciation,p364,train
108,one o eight,833673,eight three three six seven three,GenericPronunciation,p255,train
57,faaev seven,739598,seven three nine faaev nine eight,GenericPronunciation,p265,train
3646,three six four six,430088,four three o o eight eight,GenericPronunciation,p329,train
95,nine five,284190,two eight fo one nine zero,GenericPronunciation,p323,train
26,too six,158376,one faaev eight three seven six,GenericPronunciation,p362,train
5541,faaev faaev fo one,923953,nine too three nine faaev three,GenericPronunciation,p283,train
396,three nine six,956169,nine faaev six one six nine,GenericPronunciation,VCTK_p231,test
94,nine four,088320,o eight eight three two o,GenericPronunciation,p300,train
58,faaev eight,766326,seven six six three too six,GenericPronunciation,p253,train
372,three seven two,589436,five eight nine fo three six,GenericPronunciation,p311,train
08,o eight,065869,o six five eight six nine,GenericPronunciation,VCTK_p229,test
372,three seven too,371208,three seven one too o eight,GenericPronunciation,VCTK_p236,test
8120,eight one too zero,046089,zero fo six zero eight nine,GenericPronunciation,p256,train
2501,two five o one,531900,five three one nine o o,GenericPronunciation,p262,train
4151,fo one five one,003926,o o three nine two six,GenericPronunciation,p301,train
8924,eight nine too four,250442,too five o four four too,GenericPronunciation,p275,train
086,zero eight six,952329,nine five too three too nine,GenericPronunciation,VCTK_p247,test
886,eight eight six,914398,nine one four three nine eight,GenericPronunciation,p361,train
94,nine fo,801893,eight zero one eight nine three,GenericPronunciation,p345,train
248,two four eight,625393,six two five three nine three,GenericPronunciation,p376,train
57,faaev seven,375085,three seven faaev o eight faaev,GenericPronunciation,VCTK_p226,test
12,one too,767308,seven six seven three zero eight,GenericPronunciation,p258,train
8924,eight nine too four,306362,three zero six three six too,GenericPronunciation,p274,train
844,eight four four,877825,eight seven seven eight too five,GenericPronunciation,VCTK_p226,test
005,zero zero five,711146,seven one one one fo six,GenericPronunciation,p316,train
633,six three three,072918,zero seven too nine one eight,GenericPronunciation,p277,train
577,five seven seven,565832,five six five eight three too,GenericPronunciation,p261,train
715,seven one faaev,972085,nine seven two zero eight faaev,GenericPronunciation,p260,train
94,nine fo,658100,six faaev eight one zero zero,GenericPronunciation,p306,train
120,one too o,966407,nine six six fo o seven,GenericPronunciation,VCTK_p240,test
248,two fo eight,307988,three zero seven nine eight eight,GenericPronunciation,p264,train
37,three seven,726914,seven too six nine one four,GenericPronunciation,p285,train
252,two five two,871284,eight seven one two eight fo,GenericPronunciation,p307,train
87,eight seven,670388,six seven o three eight eight,GenericPronunciation,VCTK_p226,test
372,three seven too,881080,eight eight one zero eight zero,GenericPronunciation,p363,train
94,nine four,019736,o one nine seven three six,GenericPronunciation,VCTK_p230,test
844,eight four four,471225,four seven one two two faaev,GenericPronunciation,p273,train
577,faaev seven seven,175574,one seven faaev faaev seven four,GenericPronunciation,VCTK_p229,test
2498,two fo nine eight,410091,fo one o o nine one,GenericPronunciation,p285,train
186,one eight six,553372,faaev faaev three three seven two,GenericPronunciation,p314,train
89,eight nine,822840,eight too too eight fo zero,GenericPronunciation,p376,train
08,o eight,809521,eight o nine faaev too one,GenericPronunciation,p269,train
3646,three six fo six,327651,three two seven six faaev one,GenericPronunciation,VCTK_p228,test
858,eight five eight,378813,three seven eight eight one three,GenericPronunciation,p284,train
57,faaev seven,120583,one too zero faaev eight three,GenericPronunciation,p260,train
051,o five one,464378,four six four three seven eight,GenericPronunciation,p255,train
3212,three two one two,449658,four four nine six five eight,GenericPronunciation,p274,train
3212,three too one too,478230,fo seven eight too three o,GenericPronunciation,VCTK_p232,test
08,zero eight,340309,three four zero three zero nine,GenericPronunciation,p260,train
68,six eight,769331,seven six nine three three one,GenericPronunciation,p260,train
08,zero eight,167771,one six seven seven seven one,GenericPronunciation,VCTK_p239,test
4200,fo too zero zero,432625,fo three too six too faaev,GenericPronunciation,p276,train
396,three nine six,305175,three o faaev one seven faaev,GenericPronunciation,p301,train
224,two two fo,501260,five o one two six o,GenericPronunciation,p279,train
137,one three seven,562417,faaev six too fo one seven,GenericPronunciation,p248,train
3799,three seven nine nine,029509,o two nine faaev o nine,GenericPronunciation,p314,train
396,three nine six,057488,o faaev seven fo eight eight,GenericPronunciation,p298,train
051,o faaev one,306117,three o six one one seven,GenericPronunciation,p362,train
08,o eight,981044,nine eight one o four four,GenericPronunciation,p256,train
63,six three,833284,eight three three two eight fo,GenericPronunciation,p254,train
1554,one five five four,378935,three seven eight nine three five,GenericPronunciation,p276,train
0504,zero faaev zero fo,640906,six fo zero nine zero six,GenericPronunciation,p261,train
95,nine five,790760,seven nine zero seven six zero,GenericPronunciation,p317,train
858,eight faaev eight,572144,faaev seven two one four four,GenericPronunciation,p318,train
482,fo eight two,930707,nine three o seven o seven,GenericPronunciation,p364,train
908,nine o eight,258112,too faaev eight one one too,GenericPronunciation,p257,train
25,two faaev,746117,seven four six one one seven,GenericPronunciation,p281,train
248,two fo eight,827176,eight two seven one seven six,GenericPronunciation,VCTK_p236,test
6364,six three six four,987886,nine eight seven eight eight six,GenericPronunciation,VCTK_p237,test
8924,eight nine too fo,219536,too one nine five three six,GenericPronunciation,p287,train
4200,four too zero zero,141970,one four one nine seven zero,GenericPronunciation,p298,train
108,one zero eight,925068,nine too five zero six eight,GenericPronunciation,p275,train
12,one two,281455,two eight one four five five,GenericPronunciation,p268,train
25,too five,942981,nine four too nine eight one,GenericPronunciation,p280,train
7258,seven too faaev eight,258561,too faaev eight faaev six one,GenericPronunciation,p252,train
212,too one too,406865,fo zero six eight six faaev,GenericPronunciation,p270,train
95,nine faaev,777294,seven seven seven too nine four,GenericPronunciation,p300,train
1674,one six seven four,922454,nine two two four faaev four,GenericPronunciation,p340,train
1755,one seven faaev faaev,513283,faaev one three too eight three,GenericPronunciation,p303,train
2501,too faaev o one,557819,faaev faaev seven eight one nine,GenericPronunciation,VCTK_p232,test
3646,three six fo six,438845,fo three eight eight fo five,GenericPronunciation,p249,train
858,eight faaev eight,397928,three nine seven nine too eight,GenericPronunciation,p339,train
57,faaev seven,624733,six too four seven three three,GenericPronunciation,p248,train
22,two two,481557,fo eight one five five seven,GenericPronunciation,VCTK_p226,test
84,eight four,574001,five seven four zero zero one,GenericPronunciation,p286,train
733,seven three three,051724,o faaev one seven two four,GenericPronunciation,p297,train
84,eight fo,127273,one two seven two seven three,GenericPronunciation,p300,train
562,faaev six too,206895,too o six eight nine faaev,GenericPronunciation,p262,train
985,nine eight five,818186,eight one eight one eight six,GenericPronunciation,p264,train
216,too one six,363708,three six three seven zero eight,GenericPronunciation,VCTK_p243,test
95,nine five,963041,nine six three zero fo one,GenericPronunciation,p299,train
0204,o two o four,931996,nine three one nine nine six,GenericPronunciation,p308,train
94,nine fo,937116,nine three seven one one six,GenericPronunciation,p254,train
2498,too four nine eight,312705,three one too seven o five,GenericPronunciation,p270,train
586,faaev eight six,122078,one too too o seven eight,GenericPronunciation,p304,train
661,six six one,738489,seven three eight fo eight nine,GenericPronunciation,p294,train
989,nine eight nine,770553,seven seven zero five five three,GenericPronunciation,p340,train
26,two six,360497,three six zero fo nine seven,GenericPronunciation,p306,train
1554,one five five four,802786,eight o two seven eight six,GenericPronunciation,p293,train
63,six three,288160,two eight eight one six zero,GenericPronunciation,p310,train
2865,two eight six faaev,686555,six eight six faaev faaev faaev,GenericPronunciation,VCTK_p229,test
2865,two eight six five,862940,eight six two nine fo zero,GenericPronunciation,p286,train
0676,zero six seven six,603212,six zero three two one two,GenericPronunciation,p255,train
2095,too o nine five,947696,nine fo seven six nine six,GenericPronunciation,p313,train
94,nine four,211582,too one one faaev eight too,GenericPronunciation,VCTK_p227,test
108,one o eight,596124,five nine six one two four,GenericPronunciation,p276,train
216,too one six,610509,six one zero five zero nine,GenericPronunciation,p263,train
661,six six one,429791,fo too nine seven nine one,GenericPronunciation,p286,train
4537,four five three seven,511073,five one one zero seven three,GenericPronunciation,p298,train
482,fo eight two,036881,o three six eight eight one,GenericPronunciation,VCTK_p237,test
8933,eight nine three three,379457,three seven nine fo five seven,GenericPronunciation,VCTK_p240,test
844,eight fo fo,692132,six nine too one three too,GenericPronunciation,p329,train
59,faaev nine,492957,four nine two nine faaev seven,GenericPronunciation,p334,train
290,two nine o,551820,five five one eight two o,GenericPronunciation,p301,train
715,seven one faaev,254457,two faaev four four faaev seven,GenericPronunciation,p317,train
1496,one four nine six,653048,six faaev three zero four eight,GenericPronunciation,p259,train
2095,two zero nine five,048183,zero fo eight one eight three,GenericPronunciation,p255,train
437,four three seven,703263,seven o three too six three,GenericPronunciation,p334,train
3646,three six fo six,280634,two eight o six three fo,GenericPronunciation,p272,train
108,one o eight,375602,three seven five six o too,GenericPronunciation,p255,train
59,faaev nine,014888,zero one fo eight eight eight,GenericPronunciation,p248,train
00,o o,874510,eight seven fo five one o,GenericPronunciation,p267,train
6714,six seven one four,848699,eight four eight six nine nine,GenericPronunciation,p283,train
2501,too five o one,773611,seven seven three six one one,GenericPronunciation,VCTK_p228,test
68,six eight,155270,one faaev faaev two seven o,GenericPronunciation,VCTK_p236,test
633,six three three,242661,too four too six six one,GenericPronunciation,p266,train
1674,one six seven four,918707,nine one eight seven o seven,GenericPronunciation,VCTK_p245,test
0676,zero six seven six,784880,seven eight four eight eight zero,GenericPronunciation,p374,train
84,eight four,494793,four nine four seven nine three,GenericPronunciation,p318,train
396,three nine six,296634,two nine six six three four,GenericPronunciation,p287,train
08,zero eight,896957,eight nine six nine five seven,GenericPronunciation,p264,train
79,seven nine,562895,faaev six two eight nine faaev,GenericPronunciation,p266,train
68,six eight,886918,eight eight six nine one eight,GenericPronunciation,p265,train
6450,six fo five zero,631289,six three one too eight nine,GenericPronunciation,p258,train
437,fo three seven,931228,nine three one two two eight,GenericPronunciation,VCTK_p246,test
8120,eight one two zero,498368,fo nine eight three six eight,GenericPronunciation,p314,train
661,six six one,780389,seven eight zero three eight nine,GenericPronunciation,p281,train
2095,two o nine five,082525,o eight two five two five,GenericPronunciation,p261,train
8933,eight nine three three,885260,eight eight five two six o,GenericPronunciation,VCTK_p236,test
8151,eight one five one,198101,one nine eight one zero one,GenericPronunciation,p260,train
62,six two,993377,nine nine three three seven seven,GenericPronunciation,p253,train
62,six two,490086,four nine o o eight six,GenericPronunciation,p280,train
57,faaev seven,517828,faaev one seven eight too eight,GenericPronunciation,p259,train
4151,fo one faaev one,314339,three one fo three three nine,GenericPronunciation,p251,train
1554,one faaev faaev fo,678845,six seven eight eight fo faaev,GenericPronunciation,p330,train
1755,one seven five five,208002,two zero eight zero zero two,GenericPronunciation,p363,train
63,six three,081258,zero eight one two faaev eight,GenericPronunciation,VCTK_p240,test
26,too six,641180,six fo one one eight zero,GenericPronunciation,VCTK_p240,test
00,zero zero,800006,eight zero zero zero zero six,GenericPronunciation,p361,train
08,o eight,659588,six faaev nine faaev eight eight,GenericPronunciation,p282,train
30,three o,903768,nine o three seven six eight,GenericPronunciation,p362,train
33,three three,400844,fo o o eight fo fo,GenericPronunciation,VCTK_p244,test
62,six two,960012,nine six o o one two,GenericPronunciation,p329,train
6364,six three six fo,992398,nine nine too three nine eight,GenericPronunciation,p261,train
12,one two,778527,seven seven eight five two seven,GenericPronunciation,p363,train
89,eight nine,725366,seven two faaev three six six,GenericPronunciation,VCTK_p230,test
113,one one three,164330,one six fo three three zero,GenericPronunciation,p278,train
59,faaev nine,913103,nine one three one o three,GenericPronunciation,p311,train
22,two two,436128,fo three six one two eight,GenericPronunciation,p326,train
4537,fo faaev three seven,283986,two eight three nine eight six,GenericPronunciation,p286,train
186,one eight six,895714,eight nine five seven one four,GenericPronunciation,p285,train
36,three six,965400,nine six five four zero zero,GenericPronunciation,p343,train
58,five eight,021172,zero too one one seven too,GenericPronunciation,VCTK_p228,test
8954,eight nine five four,330055,three three o o five five,GenericPronunciation,p374,train
30,three zero,644389,six fo fo three eight nine,GenericPronunciation,p281,train
252,two faaev two,421576,fo two one faaev seven six,GenericPronunciation,p259,train
8120,eight one two o,992828,nine nine two eight two eight,GenericPronunciation,p283,train
22,two two,688282,six eight eight two eight two,GenericPronunciation,VCTK_p226,test
120,one too zero,122164,one too too one six fo,GenericPronunciation,p271,train
715,seven one faaev,198797,one nine eight seven nine seven,GenericPronunciation,p292,train
00,zero zero,936169,nine three six one six nine,GenericPronunciation,p255,train
22,too too,293863,too nine three eight six three,GenericPronunciation,p306,train
2095,too o nine five,961961,nine six one nine six one,GenericPronunciation,VCTK_p237,test
5541,five five fo one,048457,zero fo eight fo five seven,GenericPronunciation,p249,train
8120,eight one too zero,699815,six nine nine eight one faaev,GenericPronunciation,p262,train
224,two two four,390892,three nine zero eight nine two,GenericPronunciation,p310,train
8999,eight nine nine nine,642736,six fo too seven three six,GenericPronunciation,p249,train
6714,six seven one fo,468835,fo six eight eight three faaev,GenericPronunciation,p260,train
8120,eight one two o,473214,four seven three two one four,GenericPronunciation,p318,train
633,six three three,839876,eight three nine eight seven six,GenericPronunciation,p253,train
0219,zero two one nine,954699,nine faaev fo six nine nine,GenericPronunciation,VCTK_p228,test
84,eight fo,317947,three one seven nine fo seven,GenericPronunciation,VCTK_p246,test
562,faaev six two,297478,two nine seven fo seven eight,GenericPronunciation,VCTK_p228,test
858,eight faaev eight,305184,three zero faaev one eight fo,GenericPronunciation,p363,train
187,one eight seven,696530,six nine six faaev three zero,GenericPronunciation,p272,train
372,three seven too,061175,o six one one seven faaev,GenericPronunciation,p270,train
89,eight nine,494525,fo nine fo five two five,GenericPronunciation,VCTK_p241,test
7665,seven six six faaev,596655,faaev nine six six faaev faaev,GenericPronunciation,p275,train
120,one too o,829763,eight too nine seven six three,GenericPronunciation,p292,train
8933,eight nine three three,639373,six three nine three seven three,GenericPronunciation,VCTK_p243,test
94,nine fo,510109,faaev one zero one zero nine,GenericPronunciation,p271,train
9720,nine seven too zero,419713,fo one nine seven one three,GenericPronunciation,p264,train
68,six eight,114138,one one four one three eight,GenericPronunciation,VCTK_p233,test
086,zero eight six,582918,five eight too nine one eight,GenericPronunciation,p278,train
633,six three three,416082,fo one six o eight two,GenericPronunciation,p313,train
586,five eight six,350817,three five o eight one seven,GenericPronunciation,p330,train
37,three seven,024352,o two fo three faaev two,GenericPronunciation,p248,train
22,too too,987268,nine eight seven too six eight,GenericPronunciation,p310,train
1755,one seven five five,114152,one one fo one five two,GenericPronunciation,VCTK_p233,test
186,one eight six,483661,four eight three six six one,GenericPronunciation,VCTK_p236,test
63,six three,423249,fo two three two fo nine,GenericPronunciation,p295,train
36,three six,640499,six four zero four nine nine,GenericPronunciation,p310,train
62,six too,805004,eight o faaev o o fo,GenericPronunciation,p257,train
6364,six three six four,739531,seven three nine five three one,GenericPronunciation,p266,train
858,eight faaev eight,321202,three two one two zero two,GenericPronunciation,p260,train
2501,too five o one,731869,seven three one eight six nine,GenericPronunciation,p323,train
7258,seven two faaev eight,275627,two seven faaev six two seven,GenericPronunciation,p376,train
94,nine fo,932301,nine three two three zero one,GenericPronunciation,VCTK_p239,test
633,six three three,671579,six seven one five seven nine,GenericPronunciation,VCTK_p234,test
1554,one faaev faaev four,979261,nine seven nine two six one,GenericPronunciation,p326,train
8151,eight one five one,704598,seven o fo five nine eight,GenericPronunciation,p303,train
87,eight seven,220356,too too zero three faaev six,GenericPronunciation,VCTK_p232,test
58,faaev eight,250930,two faaev o nine three o,GenericPronunciation,p260,train
37,three seven,076407,o seven six four o seven,GenericPronunciation,VCTK_p238,test
8151,eight one faaev one,844942,eight fo fo nine fo two,GenericPronunciation,p312,train
029,zero two nine,175171,one seven five one seven one,GenericPronunciation,VCTK_p233,test
8933,eight nine three three,188994,one eight eight nine nine four,GenericPronunciation,p284,train
577,faaev seven seven,401218,four zero one too one eight,GenericPronunciation,p308,train
527,five too seven,129885,one too nine eight eight five,GenericPronunciation,p313,train
8120,eight one two o,962742,nine six two seven four two,GenericPronunciation,p280,train
8924,eight nine two four,297311,two nine seven three one one,GenericPronunciation,p306,train
1554,one five five fo,608552,six zero eight five five too,GenericPronunciation,p330,train
216,two one six,883383,eight eight three three eight three,GenericPronunciation,VCTK_p245,test
0019,zero zero one nine,988470,nine eight eight fo seven zero,GenericPronunciation,p287,train
886,eight eight six,538330,faaev three eight three three o,GenericPronunciation,p317,train
224,too too fo,577880,five seven seven eight eight zero,GenericPronunciation,p361,train
3646,three six fo six,015789,zero one faaev seven eight nine,GenericPronunciation,p271,train
0676,zero six seven six,355726,three faaev faaev seven too six,GenericPronunciation,p310,train
9498,nine four nine eight,590647,faaev nine zero six four seven,GenericPronunciation,p339,train
3212,three too one too,223736,too too three seven three six,GenericPronunciation,VCTK_p246,test
252,too five too,299160,too nine nine one six o,GenericPronunciation,p313,train
62,six too,910403,nine one o four o three,GenericPronunciation,p301,train
53,faaev three,497948,four nine seven nine four eight,GenericPronunciation,p265,train
1755,one seven five five,290645,two nine zero six fo five,GenericPronunciation,p310,train
62,six two,691530,six nine one faaev three zero,GenericPronunciation,p257,train
224,two two four,733005,seven three three zero zero faaev,GenericPronunciation,VCTK_p233,test
482,four eight two,504858,faaev o four eight faaev eight,GenericPronunciation,p316,train
4537,fo faaev three seven,393842,three nine three eight fo too,GenericPronunciation,p306,train
22,two two,961341,nine six one three fo one,GenericPronunciation,VCTK_p234,test
1674,one six seven fo,250501,two faaev zero faaev zero one,GenericPronunciation,VCTK_p233,test
588,five eight eight,772693,seven seven too six nine three,GenericPronunciation,p360,train
0504,zero faaev zero four,305731,three zero faaev seven three one,GenericPronunciation,VCTK_p237,test
7258,seven too five eight,222712,too too too seven one too,GenericPronunciation,p295,train
94,nine fo,772619,seven seven too six one nine,GenericPronunciation,VCTK_p240,test
8151,eight one five one,551564,five five one five six fo,GenericPronunciation,VCTK_p234,test
94,nine fo,057153,o faaev seven one faaev three,GenericPronunciation,p340,train
63,six three,617367,six one seven three six seven,GenericPronunciation,p293,train
2498,two fo nine eight,457480,fo five seven fo eight zero,GenericPronunciation,p282,train
248,too four eight,576140,faaev seven six one four o,GenericPronunciation,p254,train
62,six two,337865,three three seven eight six five,GenericPronunciation,p311,train
95,nine five,861398,eight six one three nine eight,GenericPronunciation,VCTK_p239,test
108,one zero eight,248615,two fo eight six one faaev,GenericPronunciation,VCTK_p231,test
95,nine five,704931,seven o fo nine three one,GenericPronunciation,p248,train
051,zero five one,690626,six nine zero six too six,GenericPronunciation,p339,train
586,five eight six,410521,fo one zero five two one,GenericPronunciation,p258,train
89,eight nine,034307,o three four three o seven,GenericPronunciation,p280,train
8999,eight nine nine nine,142960,one four too nine six o,GenericPronunciation,p323,train
89,eight nine,112214,one one too too one fo,GenericPronunciation,p257,train
49,four nine,785786,seven eight faaev seven eight six,GenericPronunciation,p312,train
086,o eight six,897238,eight nine seven two three eight,GenericPronunciation,p256,train
62,six two,828810,eight two eight eight one zero,GenericPronunciation,p307,train
586,five eight six,839897,eight three nine eight nine seven,GenericPronunciation,p260,train
216,too one six,003804,zero zero three eight zero fo,GenericPronunciation,p304,train
53,five three,697028,six nine seven o two eight,GenericPronunciation,p274,train
2865,two eight six faaev,211577,two one one faaev seven seven,GenericPronunciation,p340,train
26,too six,943713,nine fo three seven one three,GenericPronunciation,p312,train
527,five two seven,843567,eight four three five six seven,GenericPronunciation,p334,train
989,nine eight nine,614438,six one fo fo three eight,GenericPronunciation,p259,train
94,nine four,342792,three four two seven nine two,GenericPronunciation,p250,train
9498,nine fo nine eight,406419,fo o six fo one nine,GenericPronunciation,VCTK_p230,test
086,o eight six,454994,fo faaev fo nine nine fo,GenericPronunciation,p297,train
588,five eight eight,801438,eight zero one fo three eight,GenericPronunciation,p271,train
224,too too four,945123,nine four faaev one too three,GenericPronunciation,p301,train
94,nine fo,366439,three six six fo three nine,GenericPronunciation,p303,train
94,nine four,332092,three three too zero nine too,GenericPronunciation,p351,train
