Prompt,Denormalized Prompt,Normalized Sequence,Denormalized Sequence,Pronunication Class,Speaker ID,split,prompt_path,seq_path,prompt_path_audio,seq_path_audio
wc,double u see,lvx9lx,el v eks nine el x,GenericPronunciation,p363,train,dump/alphanumeric_features/19_prompt.pth,dump/alphanumeric_features/19_seq.pth,dump/alphanumeric/19_prompt.wav,dump/alphanumeric/19_seq.wav
lvt,l v tee,dgto3c,dee jee ti oh three see,GenericPronunciation,p258,train,dump/alphanumeric_features/20_prompt.pth,dump/alphanumeric_features/20_seq.pth,dump/alphanumeric/20_prompt.wav,dump/alphanumeric/20_seq.wav
qq,cuu cuu,xcbjfa,eks see bee jay ef ae,GenericPronunciation,p306,train,dump/alphanumeric_features/22_prompt.pth,dump/alphanumeric_features/22_seq.pth,dump/alphanumeric/22_prompt.wav,dump/alphanumeric/22_seq.wav
57,five seven,jf36nj,j ef three six n j,GenericPronunciation,p269,train,dump/alphanumeric_features/24_prompt.pth,dump/alphanumeric_features/24_seq.pth,dump/alphanumeric/24_prompt.wav,dump/alphanumeric/24_seq.wav
66,six six,hrnpcr,aeych r aen p see arr,GenericPronunciation,p360,train,dump/alphanumeric_features/25_prompt.pth,dump/alphanumeric_features/25_seq.pth,dump/alphanumeric/25_prompt.wav,dump/alphanumeric/25_seq.wav
569,faaev six nine,54n9tf,faaev four aen nine ti ef,GenericPronunciation,p341,train,dump/alphanumeric_features/26_prompt.pth,dump/alphanumeric_features/26_seq.pth,dump/alphanumeric/26_prompt.wav,dump/alphanumeric/26_seq.wav
4811,four eight one one,d15ggo,dee one five jee jee o,GenericPronunciation,p304,train,dump/alphanumeric_features/27_prompt.pth,dump/alphanumeric_features/27_seq.pth,dump/alphanumeric/27_prompt.wav,dump/alphanumeric/27_seq.wav
88,eight eight,wbm8g9,double you bee em eight jee nine,GenericPronunciation,p248,train,dump/alphanumeric_features/29_prompt.pth,dump/alphanumeric_features/29_seq.pth,dump/alphanumeric/29_prompt.wav,dump/alphanumeric/29_seq.wav
51,five one,u8mvqz,uu eight am wee cuu zee,GenericPronunciation,p336,train,dump/alphanumeric_features/31_prompt.pth,dump/alphanumeric_features/31_seq.pth,dump/alphanumeric/31_prompt.wav,dump/alphanumeric/31_seq.wav
569,five six nine,u60ngg,you six zero n jee jee,GenericPronunciation,p283,train,dump/alphanumeric_features/32_prompt.pth,dump/alphanumeric_features/32_seq.pth,dump/alphanumeric/32_prompt.wav,dump/alphanumeric/32_seq.wav
384,three eight four,ui15cx,you i one faaev see x,GenericPronunciation,p300,train,dump/alphanumeric_features/33_prompt.pth,dump/alphanumeric_features/33_seq.pth,dump/alphanumeric/33_prompt.wav,dump/alphanumeric/33_seq.wav
78,seven eight,kw1qze,kay double u one q zed ee,GenericPronunciation,p254,train,dump/alphanumeric_features/34_prompt.pth,dump/alphanumeric_features/34_seq.pth,dump/alphanumeric/34_prompt.wav,dump/alphanumeric/34_seq.wav
918,nine one eight,mom5xw,em oh em faaev eks double you,GenericPronunciation,p312,train,dump/alphanumeric_features/35_prompt.pth,dump/alphanumeric_features/35_seq.pth,dump/alphanumeric/35_prompt.wav,dump/alphanumeric/35_seq.wav
bai,bee ae i,7xvllh,seven x v l l aeych,GenericPronunciation,p310,train,dump/alphanumeric_features/36_prompt.pth,dump/alphanumeric_features/36_seq.pth,dump/alphanumeric/36_prompt.wav,dump/alphanumeric/36_seq.wav
848,eight four eight,ljk7nf,l j k seven aen ef,GenericPronunciation,p326,train,dump/alphanumeric_features/37_prompt.pth,dump/alphanumeric_features/37_seq.pth,dump/alphanumeric/37_prompt.wav,dump/alphanumeric/37_seq.wav
2h5,too h faaev,2ga9fv,too jee ae nine ef wee,GenericPronunciation,p265,train,dump/alphanumeric_features/38_prompt.pth,dump/alphanumeric_features/38_seq.pth,dump/alphanumeric/38_prompt.wav,dump/alphanumeric/38_seq.wav
ndwr,n dee double you arr,4yxryq,four wai x r wai cuu,GenericPronunciation,p360,train,dump/alphanumeric_features/39_prompt.pth,dump/alphanumeric_features/39_seq.pth,dump/alphanumeric/39_prompt.wav,dump/alphanumeric/39_seq.wav
c0hz,see zero haych z,hrrxdc,haych aar aar x dee see,GenericPronunciation,p374,train,dump/alphanumeric_features/40_prompt.pth,dump/alphanumeric_features/40_seq.pth,dump/alphanumeric/40_prompt.wav,dump/alphanumeric/40_seq.wav
840,eight four zero,kscdsl,k s see dee es el,GenericPronunciation,p345,train,dump/alphanumeric_features/41_prompt.pth,dump/alphanumeric_features/41_seq.pth,dump/alphanumeric/41_prompt.wav,dump/alphanumeric/41_seq.wav
udb,you dee bee,ze7t6n,zed ee seven tee six n,GenericPronunciation,p267,train,dump/alphanumeric_features/44_prompt.pth,dump/alphanumeric_features/44_seq.pth,dump/alphanumeric/44_prompt.wav,dump/alphanumeric/44_seq.wav
aa00,ae ae zero zero,31qh8d,three one cuu haych eight dee,GenericPronunciation,p329,train,dump/alphanumeric_features/45_prompt.pth,dump/alphanumeric_features/45_seq.pth,dump/alphanumeric/45_prompt.wav,dump/alphanumeric/45_seq.wav
aa00,ae ae zero zero,ns1z2t,aen es one z two ti,GenericPronunciation,p270,train,dump/alphanumeric_features/46_prompt.pth,dump/alphanumeric_features/46_seq.pth,dump/alphanumeric/46_prompt.wav,dump/alphanumeric/46_seq.wav
4811,four eight one one,ygpt4n,y jee pee tee four n,GenericPronunciation,p340,train,dump/alphanumeric_features/47_prompt.pth,dump/alphanumeric_features/47_seq.pth,dump/alphanumeric/47_prompt.wav,dump/alphanumeric/47_seq.wav
ua0,you ae zero,3ujk68,three you jay kay six eight,GenericPronunciation,p345,train,dump/alphanumeric_features/48_prompt.pth,dump/alphanumeric_features/48_seq.pth,dump/alphanumeric/48_prompt.wav,dump/alphanumeric/48_seq.wav
751,seven five one,2h0zgc,too haych zero z jee see,GenericPronunciation,p267,train,dump/alphanumeric_features/49_prompt.pth,dump/alphanumeric_features/49_seq.pth,dump/alphanumeric/49_prompt.wav,dump/alphanumeric/49_seq.wav
bai,bee ae eye,knfg25,kay aen ef jee two faaev,GenericPronunciation,p261,train,dump/alphanumeric_features/51_prompt.pth,dump/alphanumeric_features/51_seq.pth,dump/alphanumeric/51_prompt.wav,dump/alphanumeric/51_seq.wav
mi,am i,gezbd3,jee ee zed bee dee three,GenericPronunciation,p374,train,dump/alphanumeric_features/52_prompt.pth,dump/alphanumeric_features/52_seq.pth,dump/alphanumeric/52_prompt.wav,dump/alphanumeric/52_seq.wav
549,five fo nine,w49wlo,double you fo nine double u el o,GenericPronunciation,p317,train,dump/alphanumeric_features/53_prompt.pth,dump/alphanumeric_features/53_seq.pth,dump/alphanumeric/53_prompt.wav,dump/alphanumeric/53_seq.wav
65,six five,anjw6v,ae aen jay double u six wee,GenericPronunciation,p282,train,dump/alphanumeric_features/54_prompt.pth,dump/alphanumeric_features/54_seq.pth,dump/alphanumeric/54_prompt.wav,dump/alphanumeric/54_seq.wav
sjy,es jay y,652zw2,six faaev too z double u too,GenericPronunciation,p254,train,dump/alphanumeric_features/55_prompt.pth,dump/alphanumeric_features/55_seq.pth,dump/alphanumeric/55_prompt.wav,dump/alphanumeric/55_seq.wav
65,six faaev,od4q7o,o dee four cuu seven o,GenericPronunciation,p318,train,dump/alphanumeric_features/57_prompt.pth,dump/alphanumeric_features/57_seq.pth,dump/alphanumeric/57_prompt.wav,dump/alphanumeric/57_seq.wav
8774,eight seven seven four,srvgi0,s arr wee jee eye zero,GenericPronunciation,p364,train,dump/alphanumeric_features/58_prompt.pth,dump/alphanumeric_features/58_seq.pth,dump/alphanumeric/58_prompt.wav,dump/alphanumeric/58_seq.wav
65,six faaev,5tkgy0,faaev ti kay jee y zero,GenericPronunciation,p288,train,dump/alphanumeric_features/59_prompt.pth,dump/alphanumeric_features/59_seq.pth,dump/alphanumeric/59_prompt.wav,dump/alphanumeric/59_seq.wav
mi,m eye,ryx6im,r y eks six eye m,GenericPronunciation,p334,train,dump/alphanumeric_features/60_prompt.pth,dump/alphanumeric_features/60_seq.pth,dump/alphanumeric/60_prompt.wav,dump/alphanumeric/60_seq.wav
pbp,p bee pee,413hen,four one three aeych ee aen,GenericPronunciation,p284,train,dump/alphanumeric_features/61_prompt.pth,dump/alphanumeric_features/61_seq.pth,dump/alphanumeric/61_prompt.wav,dump/alphanumeric/61_seq.wav
q3v,q three wee,1o44wa,one oo fo fo double u ae,GenericPronunciation,p363,train,dump/alphanumeric_features/62_prompt.pth,dump/alphanumeric_features/62_seq.pth,dump/alphanumeric/62_prompt.wav,dump/alphanumeric/62_seq.wav
bm,bee m,l9jfwj,el nine jay ef double you j,GenericPronunciation,p300,train,dump/alphanumeric_features/65_prompt.pth,dump/alphanumeric_features/65_seq.pth,dump/alphanumeric/65_prompt.wav,dump/alphanumeric/65_seq.wav
88,eight eight,ekcqp3,ee kay see cuu pee three,GenericPronunciation,p326,train,dump/alphanumeric_features/66_prompt.pth,dump/alphanumeric_features/66_seq.pth,dump/alphanumeric/66_prompt.wav,dump/alphanumeric/66_seq.wav
hi,haych eye,fa8etk,ef ae eight ee tee k,GenericPronunciation,p254,train,dump/alphanumeric_features/67_prompt.pth,dump/alphanumeric_features/67_seq.pth,dump/alphanumeric/67_prompt.wav,dump/alphanumeric/67_seq.wav
m7,am seven,mlhal0,am l h ae el zero,GenericPronunciation,p277,train,dump/alphanumeric_features/69_prompt.pth,dump/alphanumeric_features/69_seq.pth,dump/alphanumeric/69_prompt.wav,dump/alphanumeric/69_seq.wav
pbp,p bee p,g68itw,jee six eight eye tee double u,GenericPronunciation,p326,train,dump/alphanumeric_features/70_prompt.pth,dump/alphanumeric_features/70_seq.pth,dump/alphanumeric/70_prompt.wav,dump/alphanumeric/70_seq.wav
kstf,kay s ti ef,ybft0x,y bee ef ti zero eks,GenericPronunciation,p270,train,dump/alphanumeric_features/71_prompt.pth,dump/alphanumeric_features/71_seq.pth,dump/alphanumeric/71_prompt.wav,dump/alphanumeric/71_seq.wav
46,four six,p6tcgd,pee six tee see jee dee,GenericPronunciation,p300,train,dump/alphanumeric_features/72_prompt.pth,dump/alphanumeric_features/72_seq.pth,dump/alphanumeric/72_prompt.wav,dump/alphanumeric/72_seq.wav
lbf,l bee ef,r8pcdn,arr eight p see dee aen,GenericPronunciation,p283,train,dump/alphanumeric_features/73_prompt.pth,dump/alphanumeric_features/73_seq.pth,dump/alphanumeric/73_prompt.wav,dump/alphanumeric/73_seq.wav
oqby,o cuu bee y,ll3l7n,l el three l seven en,GenericPronunciation,p301,train,dump/alphanumeric_features/74_prompt.pth,dump/alphanumeric_features/74_seq.pth,dump/alphanumeric/74_prompt.wav,dump/alphanumeric/74_seq.wav
uddy,you dee dee wai,06y8e0,zero six wai eight ee zero,GenericPronunciation,p283,train,dump/alphanumeric_features/75_prompt.pth,dump/alphanumeric_features/75_seq.pth,dump/alphanumeric/75_prompt.wav,dump/alphanumeric/75_seq.wav
51,five one,ao23kg,ae o two three k jee,GenericPronunciation,p261,train,dump/alphanumeric_features/76_prompt.pth,dump/alphanumeric_features/76_seq.pth,dump/alphanumeric/76_prompt.wav,dump/alphanumeric/76_seq.wav
78,seven eight,k9wiub,k nine double u i you bee,GenericPronunciation,p364,train,dump/alphanumeric_features/77_prompt.pth,dump/alphanumeric_features/77_seq.pth,dump/alphanumeric/77_prompt.wav,dump/alphanumeric/77_seq.wav
848,eight four eight,qlx5g6,q el x five jee six,GenericPronunciation,p258,train,dump/alphanumeric_features/78_prompt.pth,dump/alphanumeric_features/78_seq.pth,dump/alphanumeric/78_prompt.wav,dump/alphanumeric/78_seq.wav
nt,n ti,gkzdw6,jee k zed dee double u six,GenericPronunciation,p274,train,dump/alphanumeric_features/79_prompt.pth,dump/alphanumeric_features/79_seq.pth,dump/alphanumeric/79_prompt.wav,dump/alphanumeric/79_seq.wav
gk,jee k,yq3nan,y cuu three aen ae aen,GenericPronunciation,p276,train,dump/alphanumeric_features/81_prompt.pth,dump/alphanumeric_features/81_seq.pth,dump/alphanumeric/81_prompt.wav,dump/alphanumeric/81_seq.wav
51,five one,rbohed,r bee oh aeych ee dee,GenericPronunciation,p259,train,dump/alphanumeric_features/82_prompt.pth,dump/alphanumeric_features/82_seq.pth,dump/alphanumeric/82_prompt.wav,dump/alphanumeric/82_seq.wav
bm,bee am,jp63lw,j p six three l double you,GenericPronunciation,p259,train,dump/alphanumeric_features/83_prompt.pth,dump/alphanumeric_features/83_seq.pth,dump/alphanumeric/83_prompt.wav,dump/alphanumeric/83_seq.wav
7297,seven too nine seven,4d3cn7,fo dee three see aen seven,GenericPronunciation,p278,train,dump/alphanumeric_features/84_prompt.pth,dump/alphanumeric_features/84_seq.pth,dump/alphanumeric/84_prompt.wav,dump/alphanumeric/84_seq.wav
731,seven three one,rwf7gp,aar double you ef seven jee pee,GenericPronunciation,p347,train,dump/alphanumeric_features/86_prompt.pth,dump/alphanumeric_features/86_seq.pth,dump/alphanumeric/86_prompt.wav,dump/alphanumeric/86_seq.wav
65,six faaev,rxc8mt,r x see eight em ti,GenericPronunciation,p362,train,dump/alphanumeric_features/87_prompt.pth,dump/alphanumeric_features/87_seq.pth,dump/alphanumeric/87_prompt.wav,dump/alphanumeric/87_seq.wav
78,seven eight,qjkj54,q jay k jay five four,GenericPronunciation,p268,train,dump/alphanumeric_features/88_prompt.pth,dump/alphanumeric_features/88_seq.pth,dump/alphanumeric/88_prompt.wav,dump/alphanumeric/88_seq.wav
gk,jee kay,ilsrr4,i el s arr aar fo,GenericPronunciation,p279,train,dump/alphanumeric_features/90_prompt.pth,dump/alphanumeric_features/90_seq.pth,dump/alphanumeric/90_prompt.wav,dump/alphanumeric/90_seq.wav
74,seven four,7co200,seven see o two zero zero,GenericPronunciation,p270,train,dump/alphanumeric_features/92_prompt.pth,dump/alphanumeric_features/92_seq.pth,dump/alphanumeric/92_prompt.wav,dump/alphanumeric/92_seq.wav
ua0,uu ae zero,e72xyo,ee seven too x y o,GenericPronunciation,p284,train,dump/alphanumeric_features/93_prompt.pth,dump/alphanumeric_features/93_seq.pth,dump/alphanumeric/93_prompt.wav,dump/alphanumeric/93_seq.wav
chzg,see haych z jee,gu9t6u,jee you nine tee six uu,GenericPronunciation,p300,train,dump/alphanumeric_features/95_prompt.pth,dump/alphanumeric_features/95_seq.pth,dump/alphanumeric/95_prompt.wav,dump/alphanumeric/95_seq.wav
57,faaev seven,3wgvy2,three double u jee v y too,GenericPronunciation,p254,train,dump/alphanumeric_features/96_prompt.pth,dump/alphanumeric_features/96_seq.pth,dump/alphanumeric/96_prompt.wav,dump/alphanumeric/96_seq.wav
5042,five zero fo too,110wih,one one zero double you i haych,GenericPronunciation,p340,train,dump/alphanumeric_features/98_prompt.pth,dump/alphanumeric_features/98_seq.pth,dump/alphanumeric/98_prompt.wav,dump/alphanumeric/98_seq.wav
ua0,you ae zero,p9s7o6,p nine s seven oh six,GenericPronunciation,p249,train,dump/alphanumeric_features/100_prompt.pth,dump/alphanumeric_features/100_seq.pth,dump/alphanumeric/100_prompt.wav,dump/alphanumeric/100_seq.wav
88,eight eight,dzkg8r,dee zed k jee eight arr,GenericPronunciation,p313,train,dump/alphanumeric_features/102_prompt.pth,dump/alphanumeric_features/102_seq.pth,dump/alphanumeric/102_prompt.wav,dump/alphanumeric/102_seq.wav
51,faaev one,zoo0jm,zee oo oo zero jay em,GenericPronunciation,p265,train,dump/alphanumeric_features/103_prompt.pth,dump/alphanumeric_features/103_seq.pth,dump/alphanumeric/103_prompt.wav,dump/alphanumeric/103_seq.wav
14,one fo,1js1g8,one j es one jee eight,GenericPronunciation,p345,train,dump/alphanumeric_features/104_prompt.pth,dump/alphanumeric_features/104_seq.pth,dump/alphanumeric/104_prompt.wav,dump/alphanumeric/104_seq.wav
35,three five,yzz6yh,wai zed zed six wai haych,GenericPronunciation,p363,train,dump/alphanumeric_features/106_prompt.pth,dump/alphanumeric_features/106_seq.pth,dump/alphanumeric/106_prompt.wav,dump/alphanumeric/106_seq.wav
uu,uu uu,pmqbdy,pee am q bee dee wai,GenericPronunciation,p363,train,dump/alphanumeric_features/107_prompt.pth,dump/alphanumeric_features/107_seq.pth,dump/alphanumeric/107_prompt.wav,dump/alphanumeric/107_seq.wav
uu,uu you,tjuhsk,ti jay you aeych s k,GenericPronunciation,p295,train,dump/alphanumeric_features/110_prompt.pth,dump/alphanumeric_features/110_seq.pth,dump/alphanumeric/110_prompt.wav,dump/alphanumeric/110_seq.wav
875,eight seven faaev,w29u93,double u too nine you nine three,GenericPronunciation,p351,train,dump/alphanumeric_features/112_prompt.pth,dump/alphanumeric_features/112_seq.pth,dump/alphanumeric/112_prompt.wav,dump/alphanumeric/112_seq.wav
ttqm,tee ti cuu em,bmllxz,bee em l l eks zee,GenericPronunciation,p254,train,dump/alphanumeric_features/113_prompt.pth,dump/alphanumeric_features/113_seq.pth,dump/alphanumeric/113_prompt.wav,dump/alphanumeric/113_seq.wav
puuy,p uu uu why,w9ne2q,double u nine en ee too q,GenericPronunciation,p323,train,dump/alphanumeric_features/115_prompt.pth,dump/alphanumeric_features/115_seq.pth,dump/alphanumeric/115_prompt.wav,dump/alphanumeric/115_seq.wav
569,faaev six nine,u5y6er,uu faaev wai six ee r,GenericPronunciation,p261,train,dump/alphanumeric_features/116_prompt.pth,dump/alphanumeric_features/116_seq.pth,dump/alphanumeric/116_prompt.wav,dump/alphanumeric/116_seq.wav
spev,es p ee v,0yxyzd,zero wai x wai z dee,GenericPronunciation,p316,train,dump/alphanumeric_features/117_prompt.pth,dump/alphanumeric_features/117_seq.pth,dump/alphanumeric/117_prompt.wav,dump/alphanumeric/117_seq.wav
46,fo six,00mmch,zero zero em em see h,GenericPronunciation,p262,train,dump/alphanumeric_features/118_prompt.pth,dump/alphanumeric_features/118_seq.pth,dump/alphanumeric/118_prompt.wav,dump/alphanumeric/118_seq.wav
97,nine seven,j1wqrk,jay one double u q aar kay,GenericPronunciation,p272,train,dump/alphanumeric_features/119_prompt.pth,dump/alphanumeric_features/119_seq.pth,dump/alphanumeric/119_prompt.wav,dump/alphanumeric/119_seq.wav
kstf,kay es tee ef,vnyv21,v n y v two one,GenericPronunciation,p306,train,dump/alphanumeric_features/121_prompt.pth,dump/alphanumeric_features/121_seq.pth,dump/alphanumeric/121_prompt.wav,dump/alphanumeric/121_seq.wav
puuy,p uu uu why,4o6kis,four oo six k i es,GenericPronunciation,p292,train,dump/alphanumeric_features/123_prompt.pth,dump/alphanumeric_features/123_seq.pth,dump/alphanumeric/123_prompt.wav,dump/alphanumeric/123_seq.wav
uu,you uu,blniml,bee el aen i m l,GenericPronunciation,p318,train,dump/alphanumeric_features/124_prompt.pth,dump/alphanumeric_features/124_seq.pth,dump/alphanumeric/124_prompt.wav,dump/alphanumeric/124_seq.wav
bai,bee ae eye,wa8axk,double u ae eight ae eks k,GenericPronunciation,p278,train,dump/alphanumeric_features/125_prompt.pth,dump/alphanumeric_features/125_seq.pth,dump/alphanumeric/125_prompt.wav,dump/alphanumeric/125_seq.wav
731,seven three one,jqicij,j q i see eye jay,GenericPronunciation,p258,train,dump/alphanumeric_features/127_prompt.pth,dump/alphanumeric_features/127_seq.pth,dump/alphanumeric/127_prompt.wav,dump/alphanumeric/127_seq.wav
7297,seven too nine seven,r52aok,aar five too ae oh k,GenericPronunciation,p302,train,dump/alphanumeric_features/128_prompt.pth,dump/alphanumeric_features/128_seq.pth,dump/alphanumeric/128_prompt.wav,dump/alphanumeric/128_seq.wav
duq,dee uu q,874h2h,eight seven four h two h,GenericPronunciation,p340,train,dump/alphanumeric_features/129_prompt.pth,dump/alphanumeric_features/129_seq.pth,dump/alphanumeric/129_prompt.wav,dump/alphanumeric/129_seq.wav
dfo,dee ef oo,dvbxxp,dee wee bee x x p,GenericPronunciation,p326,train,dump/alphanumeric_features/130_prompt.pth,dump/alphanumeric_features/130_seq.pth,dump/alphanumeric/130_prompt.wav,dump/alphanumeric/130_seq.wav
278,two seven eight,w6u241,double u six uu two four one,GenericPronunciation,p297,train,dump/alphanumeric_features/132_prompt.pth,dump/alphanumeric_features/132_seq.pth,dump/alphanumeric/132_prompt.wav,dump/alphanumeric/132_seq.wav
tyo,ti y oh,d4wr3t,dee four double u aar three tee,GenericPronunciation,p273,train,dump/alphanumeric_features/133_prompt.pth,dump/alphanumeric_features/133_seq.pth,dump/alphanumeric/133_prompt.wav,dump/alphanumeric/133_seq.wav
4811,fo eight one one,jb9j4t,jay bee nine jay fo tee,GenericPronunciation,p302,train,dump/alphanumeric_features/134_prompt.pth,dump/alphanumeric_features/134_seq.pth,dump/alphanumeric/134_prompt.wav,dump/alphanumeric/134_seq.wav
016,zero one six,80n9xn,eight zero en nine eks en,GenericPronunciation,p299,train,dump/alphanumeric_features/135_prompt.pth,dump/alphanumeric_features/135_seq.pth,dump/alphanumeric/135_prompt.wav,dump/alphanumeric/135_seq.wav
ndwr,en dee double u arr,yfox6f,why ef oh x six ef,GenericPronunciation,p293,train,dump/alphanumeric_features/137_prompt.pth,dump/alphanumeric_features/137_seq.pth,dump/alphanumeric/137_prompt.wav,dump/alphanumeric/137_seq.wav
384,three eight four,hlezm1,haych el ee zed m one,GenericPronunciation,p312,train,dump/alphanumeric_features/138_prompt.pth,dump/alphanumeric_features/138_seq.pth,dump/alphanumeric/138_prompt.wav,dump/alphanumeric/138_seq.wav
sjy,s j y,h8u6sh,aeych eight uu six es aeych,GenericPronunciation,p261,train,dump/alphanumeric_features/139_prompt.pth,dump/alphanumeric_features/139_seq.pth,dump/alphanumeric/139_prompt.wav,dump/alphanumeric/139_seq.wav
8774,eight seven seven four,35pdot,three faaev p dee oo ti,GenericPronunciation,p293,train,dump/alphanumeric_features/141_prompt.pth,dump/alphanumeric_features/141_seq.pth,dump/alphanumeric/141_prompt.wav,dump/alphanumeric/141_seq.wav
4542,fo faaev fo too,4tm8tg,fo tee em eight ti jee,GenericPronunciation,p275,train,dump/alphanumeric_features/142_prompt.pth,dump/alphanumeric_features/142_seq.pth,dump/alphanumeric/142_prompt.wav,dump/alphanumeric/142_seq.wav
nt,aen ti,wghp14,double u jee aeych pee one fo,GenericPronunciation,p339,train,dump/alphanumeric_features/143_prompt.pth,dump/alphanumeric_features/143_seq.pth,dump/alphanumeric/143_prompt.wav,dump/alphanumeric/143_seq.wav
8774,eight seven seven four,w1bp5t,double u one bee pee five tee,GenericPronunciation,p260,train,dump/alphanumeric_features/145_prompt.pth,dump/alphanumeric_features/145_seq.pth,dump/alphanumeric/145_prompt.wav,dump/alphanumeric/145_seq.wav
j0,j zero,9fbo7v,nine ef bee o seven wee,GenericPronunciation,p347,train,dump/alphanumeric_features/151_prompt.pth,dump/alphanumeric_features/151_seq.pth,dump/alphanumeric/151_prompt.wav,dump/alphanumeric/151_seq.wav
7w,seven double you,4n9waj,fo aen nine double u ae j,GenericPronunciation,p250,train,dump/alphanumeric_features/152_prompt.pth,dump/alphanumeric_features/152_seq.pth,dump/alphanumeric/152_prompt.wav,dump/alphanumeric/152_seq.wav
ndwr,aen dee double you aar,q6hhbk,q six aeych aeych bee k,GenericPronunciation,p308,train,dump/alphanumeric_features/153_prompt.pth,dump/alphanumeric_features/153_seq.pth,dump/alphanumeric/153_prompt.wav,dump/alphanumeric/153_seq.wav
kstf,k es ti ef,4vha5r,four wee haych ae five arr,GenericPronunciation,p301,train,dump/alphanumeric_features/155_prompt.pth,dump/alphanumeric_features/155_seq.pth,dump/alphanumeric/155_prompt.wav,dump/alphanumeric/155_seq.wav
848,eight four eight,lesn0d,el ee s en zero dee,GenericPronunciation,p351,train,dump/alphanumeric_features/156_prompt.pth,dump/alphanumeric_features/156_seq.pth,dump/alphanumeric/156_prompt.wav,dump/alphanumeric/156_seq.wav
150,one five zero,dnbkej,dee en bee k ee j,GenericPronunciation,p297,train,dump/alphanumeric_features/158_prompt.pth,dump/alphanumeric_features/158_seq.pth,dump/alphanumeric/158_prompt.wav,dump/alphanumeric/158_seq.wav
731,seven three one,ozzu55,o z z you five five,GenericPronunciation,p299,train,dump/alphanumeric_features/161_prompt.pth,dump/alphanumeric_features/161_seq.pth,dump/alphanumeric/161_prompt.wav,dump/alphanumeric/161_seq.wav
